"Site";"Press";"CodeCouleur";"ReductionVitesse";"PasseMl";"CalageExtraH";"NbCouleurFlexo";"NbCouleurSeri";"NbVernisFlexo";"NbVernisSeri"
"AEME";"Cartes";"1 Couleur Sérigraphie + 1 Vernis Flexo";"0.8";"260";"0.75";"";"1";"1";""
"AEME";"Cartes";"1 Couleur Sérigraphie + 2 Vernis Flexo";"0.8";"360";"1.25";"";"1";"2";""
"AEME";"Cartes";"2 Vernis Flexo";"0";"260";"1";"";"";"2";""
"AEEP";"Cartes";"Ni couleur ni vernis";"0";"60";"0.25";"";"";"";""
"AEEP";"Cartes";"1 Couleur Sérigraphie";"0.8";"160";"0.75";"";"1";"";""
"AEEP";"Cartes";"1 Couleur Sérigraphie + 1 Vernis Flexo";"0.8";"260";"1.25";"";"1";"1";""
"AEEP";"Cartes";"1 Couleur Sérigraphie + 2 Vernis Flexo";"0.8";"360";"1.75";"";"1";"2";""
"AEEP";"Cartes";"1 Couleur Flexo";"0";"160";"1.25";"1";"";"";""
"AEEP";"Cartes";"1 Couleur Flexo + 1 Couleur Sérigraphie";"0.8";"260";"1.75";"1";"1";"";""
"AEEP";"Cartes";"1 Couleur Flexo + 1 Vernis Sérigraphie ";"0.8";"260";"1.75";"1";"";"";"1"
"AEEP";"Cartes";"1 Vernis Flexo";"0";"160";"0.5";"";"";"1";""
"AEEP";"Cartes";"1 Vernis Flexo + 1 Vernis Sérigraphie ";"0.8";"260";"1";"";"";"1";"1"
"AEEP";"Cartes";"1 Vernis Sérigraphie ";"0.8";"160";"0.75";"";"";"";"1"
"AEEP";"Cartes";"2 Vernis Flexo";"0";"260";"1";"";"";"2";""
"AEAT";"Galaxie";"Ni couleur ni vernis";"0";"60";"0.25";"";"";"";""
"AEAT";"Galaxie";"1 Couleur Sérigraphie";"0";"160";"0.75";"";"1";"";""
"AEAT";"Galaxie";"1 Couleur Sérigraphie + 1 Vernis Sérigraphie ";"0";"260";"1.25";"";"1";"";""
"AEAT";"Galaxie";"1 Couleur Flexo";"0";"160";"1.25";"1";"";"";""
"AEAT";"Galaxie";"1 Couleur Flexo + 1 Couleur Sérigraphie";"0";"260";"1.75";"1";"1";"";""
"AEAT";"Galaxie";"1 Couleur Flexo + 1 Couleur Sérigraphie + 1 Vernis Sérigraphie ";"0";"360";"2.25";"1";"1";"";"1"
"AEAT";"Galaxie";"1 Couleur Flexo + 1 Vernis Flexo";"0";"260";"1.5";"1";"";"1";""
"AEAT";"Galaxie";"1 Couleur Flexo + 1 Couleur Sérigraphie + 1 Vernis Flexo ";"0";"360";"2";"1";"1";"1";""
"AEAT";"Galaxie";"1 Couleur Flexo + 1 Couleur Sérigraphie + 1 Vernis Flexo + 1 Vernis Sérigraphie ";"0";"460";"2.5";"1";"1";"1";"1"
"AEAT";"Galaxie";"1 Couleur Flexo + 1 Vernis Flexo + 1 Vernis Sérigraphie ";"0";"360";"2";"1";"";"1";"1"
"AEAT";"Galaxie";"1 Couleur Flexo + 1 Vernis Sérigraphie ";"0";"260";"1.75";"1";"";"";"1"
"AEAT";"Galaxie";"1 Vernis Flexo";"0";"160";"0.5";"";"";"1";""
"AEAT";"Galaxie";"1 Couleur Sérigraphie + 1 Vernis Flexo";"0";"260";"1";"";"1";"1";""
"AEAT";"Galaxie";"1 Couleur Sérigraphie + 1 Vernis Flexo + 1 Vernis Sérigraphie ";"0";"360";"1.5";"";"1";"1";"1"
"AEAT";"Galaxie";"1 Vernis Flexo + 1 Vernis Sérigraphie ";"0";"260";"1";"";"";"1";"1"
"AEAT";"Galaxie";"1 Vernis Sérigraphie ";"0";"160";"0.75";"";"";"";"1"
"AEAT";"Galaxie";"2 Couleurs Flexo";"0";"260";"2.25";"2";"";"";""
"AEAT";"Galaxie";"2 Couleurs Flexo + 1 Couleur Sérigraphie";"0";"360";"2.75";"2";"1";"";""
"AEAT";"Galaxie";"2 Couleurs Flexo + 1 Vernis Sérigraphie ";"0";"360";"2.75";"2";"";"";"1"
"AEAT";"Galaxie";"2 Vernis Flexo";"0";"260";"0.75";"";"";"2";""
"AEAT";"Galaxie";"1 Couleur Sérigraphie + 2 Vernis Flexo";"0";"360";"1.25";"";"1";"2";""
"AEAT";"Galaxie";"2 Vernis Flexo + 1 Vernis Sérigraphie ";"0";"360";"1.25";"";"";"2";""
"AELO";"Galaxie";"Ni couleur ni vernis";"0";"36";"0.05";"";"";"";""
"AELO";"Galaxie";"1 Couleur Sérigraphie";"0";"160";"0.75";"";"1";"";""
"AELO";"Galaxie";"1 Couleur Sérigraphie + 1 Vernis Sérigraphie ";"0";"260";"1.25";"";"1";"";""
"AELO";"Galaxie";"1 Couleur Flexo";"0";"160";"1.25";"1";"";"";""
"AELO";"Galaxie";"1 Couleur Flexo + 1 Couleur Sérigraphie";"0";"260";"1.75";"1";"1";"";""
"AELO";"Galaxie";"1 Couleur Flexo + 1 Couleur Sérigraphie + 1 Vernis Sérigraphie ";"0";"360";"2.25";"1";"1";"";"1"
"AELO";"Galaxie";"1 Couleur Flexo + 1 Vernis Flexo";"0";"260";"1.5";"1";"";"1";""
"AELO";"Galaxie";"1 Couleur Flexo + 1 Couleur Sérigraphie + 1 Vernis Flexo ";"0";"360";"2";"1";"1";"1";""
"AELO";"Galaxie";"1 Couleur Flexo + 1 Couleur Sérigraphie + 1 Vernis Flexo + 1 Vernis Sérigraphie ";"0";"460";"2.5";"1";"1";"1";"1"
"AELO";"Galaxie";"1 Couleur Flexo + 1 Vernis Flexo + 1 Vernis Sérigraphie ";"0";"360";"2";"1";"";"1";"1"
"AELO";"Galaxie";"1 Couleur Flexo + 1 Vernis Sérigraphie ";"0";"260";"1.75";"1";"";"";"1"
"AELO";"Galaxie";"1 Vernis Flexo";"0";"160";"0.5";"";"";"1";""
"AELO";"Galaxie";"1 Couleur Sérigraphie + 1 Vernis Flexo";"0";"260";"1";"";"1";"1";""
"AELO";"Galaxie";"1 Couleur Sérigraphie + 1 Vernis Flexo + 1 Vernis Sérigraphie ";"0";"360";"1.5";"";"1";"1";"1"
"AELO";"Galaxie";"1 Vernis Flexo + 1 Vernis Sérigraphie ";"0";"260";"1";"";"";"1";"1"
"AELO";"Galaxie";"1 Vernis Sérigraphie ";"0";"160";"0.75";"";"";"";"1"
"AELO";"Galaxie";"2 Couleurs Flexo";"0";"260";"2.25";"2";"";"";""
"AELO";"Galaxie";"2 Couleurs Flexo + 1 Couleur Sérigraphie";"0";"360";"2.75";"2";"1";"";""
"AELO";"Galaxie";"2 Couleurs Flexo + 1 Vernis Sérigraphie ";"0";"360";"2.75";"2";"";"";"1"
"AELO";"Galaxie";"2 Vernis Flexo";"0";"260";"0.75";"";"";"2";""
"AELO";"Galaxie";"1 Couleur Sérigraphie + 2 Vernis Flexo";"0";"360";"1.25";"";"1";"2";""
"AELO";"Galaxie";"2 Vernis Flexo + 1 Vernis Sérigraphie ";"0";"360";"1.25";"";"";"2";""
"AELI";"Cartes";"Ni couleur ni vernis";"0";"60";"0.25";"";"";"";""
"AELI";"Cartes";"1 Couleur Sérigraphie";"0.8";"160";"0.75";"";"1";"";""
"AELI";"Cartes";"1 Couleur Flexo";"0";"160";"1.25";"1";"";"";""
"AELI";"Cartes";"1 Couleur Flexo + 1 Couleur Sérigraphie";"0.8";"260";"1.75";"1";"1";"";""
"AELI";"Cartes";"1 Couleur Flexo + 1 Vernis Sérigraphie ";"0.8";"260";"1.75";"1";"";"";"1"
"AELI";"Cartes";"1 Vernis Flexo";"0";"160";"0.75";"";"";"1";""
"AELI";"Cartes";"1 Vernis Flexo + 1 Vernis Sérigraphie ";"0.8";"260";"1.25";"0";"0";"1";"1"
"AELI";"Cartes";"1 Vernis Sérigraphie ";"0.8";"160";"0.75";"";"";"";"1"
"AELI";"Cartes";"1 Couleur Sérigraphie + 1 Vernis Flexo";"0.8";"260";"0.75";"";"1";"1";""
"AELI";"Cartes";"1 Couleur Sérigraphie + 2 Vernis Flexo";"0.8";"360";"1.25";"";"1";"2";""
"AELI";"Cartes";"2 Vernis Flexo";"0";"260";"1";"";"";"2";""
"AESU";"Cartes";"Ni couleur ni vernis";"0";"0";"0.25";"";"";"";""
"AESU";"Cartes";"1 Couleur Sérigraphie";"0.3";"20";"1";"";"1";"";""
"AESU";"Cartes";"1 Vernis Flexo";"0";"0";"0.33";"";"";"1";""
"AESU";"Cartes";"1 Vernis Flexo + 1 Vernis Sérigraphie ";"0.3";"20";"1.08";"0";"0";"1";"1"
"AESU";"Cartes";"1 Vernis Sérigraphie ";"0.3";"20";"1";"";"";"";"1"
"AESU";"Cartes";"1 Couleur Sérigraphie + 1 Vernis Flexo";"0.3";"20";"1.08";"";"1";"1";""
